R18,28.96,75.69,270.30,3k3,ERA-1AEB3401C_0201
R1_EP_DR,23.69,81.20,178.10,0.47,ERA-1AEB3401C_0201
R1_USB,32.23,90.04,180.50,5K1,ERA-1AEB3401C_0201
R2,12.59,90.09,268.10,0,ERA-1AEB3401C_0201
R2_EP_DR,18.13,90.02,0.00,10K,ERA-1AEB3401C_0201
R2_USB,28.37,89.44,2.00,5K1,ERA-1AEB3401C_0201
R3,27.14,77.80,90.00,0,ERA-1AEB3401C_0201
R4,10.23,92.03,180.00,0,ERA-1AEB3401C_0201
R5,27.33,70.31,90.00,10K,ERA-1AEB3401C_0201
R7,35.70,66.61,270.90,10K,ERA-1AEB3401C_0201
R8,29.08,69.96,90.00,10K,ERA-1AEB3401C_0201
R9,27.32,82.41,270.30,10K,ERA-1AEB3401C_0201
R_PWR_EPD,48.87,66.60,181.10,10K,ERA-1AEB3401C_0201
R_TYPE_SEL,26.34,66.28,0.00,2.2,ERA-1AEB3401C_0201
SJ1,24.21,64.18,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,40.05,66.07,180.20,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,29.13,66.07,179.50,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,18.03,66.17,180.30,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,41.45,73.27,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,45.76,95.73,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,41.17,94.11,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,38.18,95.54,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,50.79,69.98,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,50.60,73.04,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,42.47,82.86,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,23.52,87.46,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,21.57,95.84,188.40,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,49.60,75.36,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,50.48,82.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,35.55,72.84,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,39.97,69.88,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,25.58,89.32,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,34.11,78.71,0.30,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,44.08,69.74,359.40,ESP32_C6_LIBRARY_MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,37.52,89.27,179.60,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,29.86,85.00,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
